Connecting to host vps.wood.ninja, port 5201
[  5] local 10.1.101.130 port 60548 connected to 50.116.48.94 port 5201
[  5] 263.00-264.00 sec  46.2 MBytes   388 Mbits/sec    0    549 KBytes       
[  5] 264.00-265.00 sec  47.5 MBytes   398 Mbits/sec    0    603 KBytes       
[  5] 265.00-266.00 sec  52.5 MBytes   440 Mbits/sec    0    661 KBytes       
[  5] 266.00-267.00 sec  45.0 MBytes   377 Mbits/sec   13    522 KBytes       
[  5] 267.00-268.00 sec  46.2 MBytes   388 Mbits/sec    0    585 KBytes       
[  5] 268.00-269.00 sec  46.2 MBytes   388 Mbits/sec   38    445 KBytes       
[  5] 269.00-270.00 sec  28.8 MBytes   241 Mbits/sec    0    489 KBytes       
[  5] 270.00-271.00 sec  35.0 MBytes   294 Mbits/sec    0    540 KBytes       
[  5] 271.00-272.00 sec  40.0 MBytes   336 Mbits/sec    0    589 KBytes       
[  5] 272.00-273.00 sec  46.2 MBytes   388 Mbits/sec    0    644 KBytes       
[  5] 273.00-274.00 sec  45.0 MBytes   377 Mbits/sec  109    506 KBytes       
[  5] 274.00-275.00 sec  45.0 MBytes   377 Mbits/sec    0    569 KBytes       
[  5] 275.00-276.00 sec  51.2 MBytes   430 Mbits/sec    0    623 KBytes       
[  5] 276.00-277.00 sec  51.2 MBytes   430 Mbits/sec    0    681 KBytes       
[  5] 277.00-278.00 sec  51.2 MBytes   430 Mbits/sec    0    732 KBytes       
[  5] 278.00-279.00 sec  52.5 MBytes   440 Mbits/sec    0    784 KBytes       
[  5] 279.00-280.00 sec  41.2 MBytes   346 Mbits/sec  118    441 KBytes       
[  5] 280.00-281.00 sec  45.0 MBytes   377 Mbits/sec    0    510 KBytes       
[  5] 281.00-282.00 sec  45.0 MBytes   377 Mbits/sec    0    570 KBytes       
[  5] 282.00-283.00 sec  51.2 MBytes   430 Mbits/sec    0    633 KBytes       
[  5] 283.00-284.00 sec  46.2 MBytes   388 Mbits/sec    5    509 KBytes       
[  5] 284.00-285.00 sec  46.2 MBytes   388 Mbits/sec    5    403 KBytes       
[  5] 285.00-286.00 sec  41.2 MBytes   346 Mbits/sec    0    473 KBytes       
[  5] 286.00-287.00 sec  46.2 MBytes   388 Mbits/sec    0    540 KBytes       
[  5] 287.00-288.00 sec  35.0 MBytes   294 Mbits/sec    0    585 KBytes       
[  5] 288.00-289.00 sec  33.8 MBytes   283 Mbits/sec    0    623 KBytes       
[  5] 289.00-290.00 sec  47.5 MBytes   398 Mbits/sec    0    676 KBytes       
[  5] 290.00-291.00 sec  52.5 MBytes   440 Mbits/sec    0    731 KBytes       
[  5] 291.00-292.00 sec  53.8 MBytes   451 Mbits/sec    0    783 KBytes       
