RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
DMZ2050_access_in_#29,268438593,12,2023-11-06T10:52:11Z,2024-01-08T13:44:16Z
DMZ2050_access_in_#30,268438594,254465,2022-01-22T11:45:57Z,2024-01-17T23:54:29Z
DMZ2050_access_in_#31,268438595,478785,2022-01-20T01:44:24Z,2024-01-18T19:00:38Z
DMZ2050_access_in_#32,268438596,0, , 
DMZ2050_access_in_#33,268438597,8979,2022-01-23T10:22:42Z,2024-01-18T00:53:24Z
DMZ2054_access_in_#1,268438598,1,2023-01-10T06:06:15Z,2023-01-10T06:06:15Z
DMZ2054_access_in_#2,268438599,3503747,2022-01-20T01:43:13Z,2024-01-18T19:03:28Z
DMZ2054_access_in_#3,268438600,7,2022-01-26T06:15:23Z,2023-08-21T08:55:34Z
DMZ2054_access_in_#4,268438601,75514,2023-10-25T16:54:25Z,2024-01-18T19:01:14Z
DMZ2054_access_in_#5,268438602,5077684,2022-01-21T22:30:03Z,2024-01-18T19:03:56Z
DMZ2054_access_in_#6,268438603,334,2023-10-25T22:35:33Z,2024-01-17T22:58:40Z
DMZ2054_access_in_#7,268438604,2080815,2022-01-20T01:43:15Z,2024-01-18T19:02:49Z
DMZ2054_access_in_#8,268438605,0, , 
DMZ2054_access_in_#9,268438606,686990,2022-01-20T01:44:11Z,2024-01-18T19:03:49Z
DMZ2054_access_in_#10,268438607,924764280,2022-01-20T01:43:12Z,2024-01-18T19:03:56Z
DMZ2054_access_in_#11,268438608,419428,2022-01-20T01:43:13Z,2024-01-18T18:59:26Z
DMZ2054_access_in_#12,268438609,1,2023-11-10T22:36:45Z,2023-11-10T22:36:45Z
DMZ2054_access_in_#13,268438610,497109,2022-01-20T01:53:45Z,2024-01-18T18:56:34Z
DMZ2054_access_in_#14,268438611,0, , 
DMZ2054_access_in_#140,268442686,0, , 
DMZ2054_access_in_#141,268442687,270,2023-02-08T03:27:56Z,2024-01-17T08:10:14Z
DMZ2054_access_in_#15,268438612,0, , 
DMZ2054_access_in_#16,268438613,17726841,2022-01-20T01:43:40Z,2024-01-18T19:03:55Z
DMZ2054_access_in_#17,268438614,0, , 
DMZ2054_access_in_#18,268438615,0, , 
DMZ2054_access_in_#19,268438616,0, , 
DMZ2054_access_in_#20,268438617,7135891,2022-01-20T01:43:08Z,2024-01-18T19:03:48Z
DMZ2054_access_in_#21,268438618,0, , 
DMZ2054_access_in_#22,268438619,479352,2022-01-20T01:46:29Z,2024-01-18T18:56:49Z
DMZ2054_access_in_#23,268438620,52715,2022-01-21T22:14:23Z,2024-01-18T18:52:04Z
DMZ2054_access_in_#24,268438621,1696381,2022-01-20T01:47:04Z,2024-01-18T19:03:40Z
DMZ2054_access_in_#25,268438622,2929550,2022-01-20T01:44:44Z,2024-01-18T19:03:48Z
DMZ2054_access_in_#26,268438623,2953,2022-01-23T20:46:15Z,2024-01-17T08:13:47Z
DMZ2054_access_in_#27,268438624,104649531,2022-01-20T01:44:29Z,2024-01-18T19:03:56Z
DMZ2054_access_in_#28,268438625,18602662,2022-01-22T06:24:42Z,2024-01-18T19:03:49Z
DMZ2054_access_in_#29,268438626,870505,2022-01-20T01:43:59Z,2024-01-18T19:02:44Z
DMZ2054_access_in_#30,268438627,0, , 
DMZ2054_access_in_#31,268438628,0, , 
DMZ2054_access_in_#32,268438629,0, , 
DMZ2054_access_in_#33,268438630,0, , 
DMZ2054_access_in_#34,268438631,0, , 
DMZ2054_access_in_#34 (1),268439045,76,2022-03-03T03:22:26Z,2022-03-03T05:05:31Z
DMZ2054_access_in_#35,268438632,91639,2022-01-20T01:41:42Z,2022-08-04T04:48:30Z
DMZ2054_access_in_#36,268438633,3940,2022-01-23T11:13:45Z,2023-10-05T11:38:54Z
DMZ2054_access_in_#37,268438634,0, , 
DMZ2054_access_in_#38,268439036,0, , 
DMZ2054_access_in_#39,268438636,0, , 
DMZ2054_access_in_#40,268438637,0, , 
DMZ2054_access_in_#41,268438638,0, , 
DMZ2054_access_in_#42,268438639,0, , 
DMZ2054_access_in_#43,268438640,0, , 
DMZ2054_access_in_#44,268438641,0, , 
DMZ2054_access_in_#45,268438642,45497090,2022-01-20T01:43:07Z,2024-01-18T19:03:55Z
DMZ2054_access_in_#46,268438643,0, , 
DMZ2054_access_in_#47,268438644,0, , 
DMZ2054_access_in_#48,268438645,0, , 
DMZ2054_access_in_#49,268438646,0, , 
DMZ2054_access_in_#50,268438647,0, , 
DMZ2054_access_in_#51,268438648,0, , 
DMZ2054_access_in_#52,268438649,0, , 
DMZ2054_access_in_#53,268438650,0, , 
DMZ2054_access_in_#54,268438651,0, , 
DMZ2054_access_in_#55,268438652,0, , 
DMZ2054_access_in_#56,268438653,0, , 
DMZ2054_access_in_#57,268438654,0, , 
DMZ2054_access_in_#58,268438655,0, , 
DMZ2054_access_in_#59,268438656,0, , 
DMZ2054_access_in_#60,268438657,0, , 
DMZ2054_access_in_#61,268438658,0, , 
DMZ2054_access_in_#62,268438659,0, , 
DMZ2054_access_in_#63,268438660,0, , 
